Date,Close/Last,Volume,Open,Hight,Low
2020-03-08,108.9375,308151400,108.2,111.6364,107.8925
2020-07-31,106.26,374295480,102.8838,106.415,100.825
2020-07-30,96.19,158130040,94.1875,96.2975,93.7675
2020-07-29,95.04,90329240,93.75,95.23,93.7125
2020-07-28,93.2525,103625520,94.3675,94.5497,93.2475
2020-07-27,94.81,121214200,93.71,94.905,93.48
2020-07-24,92.615,185438880,90.9875,92.97,89.145
2020-07-23,92.845,197004440,96.9985,97.0775,92.0097
2020-07-22,97.2725,89001640,96.6925,97.975,96.6025
2020-07-21,97.0,103645840,99.1725,99.25,96.7425
2020-07-20,98.3575,90317920,96.4163,98.5,96.0625
2020-07-17,96.3275,92186920,96.9875,97.1475,95.84
2020-07-16,96.5225,110577680,96.5625,97.405,95.905
2020-07-15,97.725,153197920,98.99,99.2475,96.49
2020-07-14,97.0575,170989360,94.84,97.255,93.8775
2020-07-13,95.4775,191649160,97.265,99.955,95.2575
2020-10-07,95.92,90257320,95.335,95.98,94.7052
2020-09-07,95.6825,125642600,96.2625,96.3175,94.6725
2020-08-07,95.3425,117091880,94.18,95.375,94.09
2020-07-07,93.1725,112424440,93.8525,94.655,93.0575
2020-06-07,93.4625,118655640,92.5,93.945,92.4675
2020-02-07,91.0275,114041480,91.9625,92.6175,90.91
2020-01-07,91.0275,110737240,91.28,91.84,90.9775
2020-06-30,91.2,140223280,90.02,91.495,90.0
2020-06-29,90.445,130646080,88.3125,90.5434,87.82
2020-06-26,88.4075,205256840,91.1025,91.33,88.255
2020-06-25,91.21,137522520,90.175,91.25,89.3925
2020-06-24,90.015,192623400,91.25,92.1975,89.63
2020-06-23,91.6325,212155480,91.0,93.095,90.5675
2020-06-22,89.7175,135445280,87.835,89.865,87.7875
2020-06-19,87.43,264475800,88.6587,89.14,86.2875
2020-06-18,87.9325,96820400,87.8525,88.3625,87.305
2020-06-17,87.8975,114406520,88.7875,88.85,87.7725
2020-06-16,88.02,165428720,87.865,88.3,86.18
2020-06-15,85.7475,138808920,83.3125,86.42,83.145
2020-12-06,84.7,200146040,86.18,86.95,83.5558
2020-11-06,83.975,201662440,87.3275,87.765,83.87
2020-10-06,88.21,166651760,86.975,88.6925,86.5225
2020-09-06,85.9975,147712360,83.035,86.4025,83.0025
2020-08-06,83.365,95654520,82.5625,83.4,81.83
2020-05-06,82.875,137250200,80.8375,82.9375,80.8075
2020-04-06,80.58,87560360,81.0975,81.405,80.195
2020-03-06,81.28,104491200,81.165,81.55,80.575
2020-02-06,80.835,87642800,80.1863,80.86,79.7325
2020-01-06,80.4625,81018600,79.4375,80.5875,79.3025
2020-05-29,79.485,153598120,79.8125,80.2875,79.1175
2020-05-28,79.5625,133796400,79.1925,80.86,78.9075
2020-05-27,79.5275,112945080,79.035,79.6775,78.2725
2020-05-26,79.1825,125521800,80.875,81.06,79.125
2020-05-22,79.7225,81803000,78.9425,79.8075,78.8375
2020-05-21,79.2125,102688840,79.665,80.2225,78.9675
2020-05-20,79.8075,111504880,79.17,79.88,79.05
2020-05-19,78.285,101729560,78.7575,79.63,78.2525
2020-05-18,78.74,135372520,78.2925,79.125,77.581
2020-05-15,76.9275,166348360,75.0875,76.975,75.0525
2020-05-14,77.385,158929080,76.1275,77.4475,75.3825
2020-05-13,76.9125,200622560,78.0375,78.9875,75.8025
2020-12-05,77.8525,162301040,79.4575,79.922,77.7275
2020-11-05,78.7525,145946240,77.025,79.2625,76.81
2020-08-05,77.5325,134047960,76.41,77.5875,76.0725
2020-07-05,75.935,115215040,75.805,76.2925,75.4925
2020-06-05,75.1575,142333760,75.115,75.81,74.7175
2020-05-05,74.39,147751200,73.765,75.25,73.615
2020-04-05,73.29,133567960,72.2925,73.4225,71.5793
2020-01-05,72.2675,240616720,71.5625,74.75,71.4625
2020-04-30,73.45,183063880,72.49,73.6325,72.0875
2020-04-29,71.9325,137280800,71.1825,72.4175,70.9725
2020-04-28,69.645,112004760,71.27,71.4575,69.55
2020-04-27,70.7925,117087560,70.45,71.135,69.9875
2020-04-24,70.7425,126508720,69.3,70.7525,69.25
2020-04-23,68.7575,124814320,68.9675,70.4375,68.7175
2020-04-22,69.025,117057360,68.4025,69.475,68.05
2020-04-21,67.0925,180991560,69.07,69.3125,66.3575
2020-04-20,69.2325,130015000,69.4875,70.42,69.2125
2020-04-17,70.7,215249920,71.1725,71.7362,69.215
2020-04-16,71.6725,157125160,71.845,72.0494,70.5875
2020-04-15,71.1075,131154560,70.6,71.5825,70.1575
2020-04-14,71.7625,194994680,70.0,72.0625,69.5125
2020-04-13,68.3125,131022920,67.0775,68.425,66.4575
2020-09-04,66.9975,162116480,67.175,67.5175,66.175
2020-08-04,66.5175,168895280,65.685,66.8425,65.3075
2020-07-04,64.8575,202887320,67.7,67.925,64.75
2020-06-04,65.6175,201820280,62.725,65.7775,62.345
2020-03-04,60.3525,129880080,60.7,61.425,59.7435
2020-02-04,61.2325,165933960,60.085,61.2875,59.225
2020-01-04,60.2275,176218560,61.625,62.18,59.7825
2020-03-31,63.5725,197002000,63.9,65.6225,63.0
2020-03-30,63.7025,167976440,62.685,63.88,62.35
2020-03-27,61.935,204216600,63.1875,63.9675,61.7625
2020-03-26,64.61,252560680,61.63,64.67,61.59
2020-03-25,61.38,303602040,62.6875,64.5625,61.075
2020-03-24,61.72,287531080,59.09,61.9225,58.575
2020-03-23,56.0925,336752840,57.02,57.1249,53.1525
2020-03-20,57.31,401693200,61.795,62.9575,57.0
2020-03-19,61.195,271857040,61.8462,63.21,60.6525
